task_id,base_task_id,family,source_benchmark,regime,seed,target_id,user_goal,policy_obligation,terminal_equivalence_hash
tau_retail_000:FULL:s13,tau_retail_000,tau_retail,tau-bench-retail,FULL,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:FULL:s47,tau_retail_000,tau_retail,tau-bench-retail,FULL,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:CONCAT:s13,tau_retail_000,tau_retail,tau-bench-retail,CONCAT,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:CONCAT:s47,tau_retail_000,tau_retail,tau-bench-retail,CONCAT,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:SHARDED:s13,tau_retail_000,tau_retail,tau-bench-retail,SHARDED,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:SHARDED:s47,tau_retail_000,tau_retail,tau-bench-retail,SHARDED,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:SNOWBALL:s13,tau_retail_000,tau_retail,tau-bench-retail,SNOWBALL,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:SNOWBALL:s47,tau_retail_000,tau_retail,tau-bench-retail,SNOWBALL,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:REVISE:s13,tau_retail_000,tau_retail,tau-bench-retail,REVISE,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:REVISE:s47,tau_retail_000,tau_retail,tau-bench-retail,REVISE,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:MEMORY_REVISE:s13,tau_retail_000,tau_retail,tau-bench-retail,MEMORY_REVISE,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:MEMORY_REVISE:s47,tau_retail_000,tau_retail,tau-bench-retail,MEMORY_REVISE,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:ADV_EFFECT:s13,tau_retail_000,tau_retail,tau-bench-retail,ADV_EFFECT,13,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_000:ADV_EFFECT:s47,tau_retail_000,tau_retail,tau-bench-retail,ADV_EFFECT,47,tau-000,Resolve the retail refund for order tau-000.,avoid_unnecessary_payment_or_compensation_hold,96d15c82c7fd0477
tau_retail_001:FULL:s13,tau_retail_001,tau_retail,tau-bench-retail,FULL,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:FULL:s47,tau_retail_001,tau_retail,tau-bench-retail,FULL,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:CONCAT:s13,tau_retail_001,tau_retail,tau-bench-retail,CONCAT,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:CONCAT:s47,tau_retail_001,tau_retail,tau-bench-retail,CONCAT,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:SHARDED:s13,tau_retail_001,tau_retail,tau-bench-retail,SHARDED,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:SHARDED:s47,tau_retail_001,tau_retail,tau-bench-retail,SHARDED,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:SNOWBALL:s13,tau_retail_001,tau_retail,tau-bench-retail,SNOWBALL,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:SNOWBALL:s47,tau_retail_001,tau_retail,tau-bench-retail,SNOWBALL,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:REVISE:s13,tau_retail_001,tau_retail,tau-bench-retail,REVISE,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:REVISE:s47,tau_retail_001,tau_retail,tau-bench-retail,REVISE,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:MEMORY_REVISE:s13,tau_retail_001,tau_retail,tau-bench-retail,MEMORY_REVISE,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:MEMORY_REVISE:s47,tau_retail_001,tau_retail,tau-bench-retail,MEMORY_REVISE,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:ADV_EFFECT:s13,tau_retail_001,tau_retail,tau-bench-retail,ADV_EFFECT,13,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
tau_retail_001:ADV_EFFECT:s47,tau_retail_001,tau_retail,tau-bench-retail,ADV_EFFECT,47,tau-001,Resolve the retail exchange for order tau-001.,least_effect_success,2ebad048d9c146e5
