system,reason,count
FINAL_STATE,terminal_success,21504
PROGENT_DSL_LITE,accepted,20230
PROGENT_DSL_LITE,least_privilege_projection_block,1274
CMTF_CONTRACT,accepted,20122
CMTF_CONTRACT,outside_minimal_causal_frontier,1020
CMTF_CONTRACT,contract_frontier_violation,362
RACG_LITE,accepted,19870
RACG_LITE,cmtf:outside_minimal_causal_frontier,1020
RACG_LITE,cmtf:contract_frontier_violation,362
RACG_LITE,risk_or_authorization_projection_block,252
TOOLPRIV_DETECTOR,accepted,20230
TOOLPRIV_DETECTOR,higher_privilege_than_available_witness,1274
CORDON_LITE,accepted,20230
CORDON_LITE,external_outbox_not_committed,1131
CORDON_LITE,transaction_requires_compensation,143
REVISABILITY_ONLY,accepted,20373
REVISABILITY_ONLY,irreversible_or_external,1131
MODERN_PROJECTION_STACK,accepted,19842
MODERN_PROJECTION_STACK,PROGENT_DSL_LITE:least_privilege_projection_block,1274
MODERN_PROJECTION_STACK,CMTF_CONTRACT:contract_frontier_violation,360
MODERN_PROJECTION_STACK,unparsed_model_proposal,28
KERNEL_FULL,kernel_accept,16866
KERNEL_FULL,kernel_strict_excess,4638
