timestamp	model	status	detail
2026-06-24T20:01:27Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-24T20:01:32Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-24T20:01:42Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-24T20:01:52Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-24T20:02:02Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-24T20:02:12Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-24T20:02:22Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-24T20:02:32Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-24T20:02:32Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-24T20:02:32Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-24T20:02:41Z	mistral_small_3_2_24b_local	running_slice	writing 3584 trajectories to effectbench_omega/outputs/guard_v2_main_mistral_small_3_2_24b_local
2026-06-24T21:36:55Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-24T21:37:49Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/summaries/mistral_small_3_2_24b_local.json
2026-06-24T21:37:49Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-24T21:37:55Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-24T21:38:05Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-24T21:38:15Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-24T21:38:25Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-24T21:38:35Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-24T21:38:45Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-24T21:38:55Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-24T21:39:05Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-24T21:39:15Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-24T21:39:25Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-24T21:39:35Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-24T21:39:45Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-24T21:39:45Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-24T21:39:45Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-24T21:39:53Z	qwen3_6_35b_a3b_local	running_slice	writing 3584 trajectories to effectbench_omega/outputs/guard_v2_main_qwen3_6_35b_a3b_local
2026-06-24T22:03:02Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-24T22:03:56Z	qwen3_6_35b_a3b_local	done	slice complete; summary effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/summaries/qwen3_6_35b_a3b_local.json
2026-06-24T22:03:56Z	qwen3_6_35b_a3b_local	stopping_server	stopping vLLM before next model
2026-06-24T22:04:01Z	llama3_3_70b_awq_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/logs/llama3_3_70b_awq_local_vllm.log
2026-06-24T22:04:11Z	llama3_3_70b_awq_local	loading	waited 10s for vLLM
2026-06-24T22:04:21Z	llama3_3_70b_awq_local	loading	waited 20s for vLLM
2026-06-24T22:04:31Z	llama3_3_70b_awq_local	loading	waited 30s for vLLM
2026-06-24T22:04:41Z	llama3_3_70b_awq_local	loading	waited 40s for vLLM
2026-06-24T22:04:51Z	llama3_3_70b_awq_local	loading	waited 50s for vLLM
2026-06-24T22:05:01Z	llama3_3_70b_awq_local	loading	waited 60s for vLLM
2026-06-24T22:05:11Z	llama3_3_70b_awq_local	loading	waited 70s for vLLM
2026-06-24T22:05:21Z	llama3_3_70b_awq_local	loading	waited 80s for vLLM
2026-06-24T22:05:31Z	llama3_3_70b_awq_local	loading	waited 90s for vLLM
2026-06-24T22:05:31Z	llama3_3_70b_awq_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-24T22:05:31Z	llama3_3_70b_awq_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-24T22:05:39Z	llama3_3_70b_awq_local	running_slice	writing 3584 trajectories to effectbench_omega/outputs/guard_v2_main_llama3_3_70b_awq_local
2026-06-25T06:13:09Z	llama3_3_70b_awq_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-25T06:14:03Z	llama3_3_70b_awq_local	done	slice complete; summary effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/summaries/llama3_3_70b_awq_local.json
2026-06-25T06:14:04Z	llama3_3_70b_awq_local	stopping_server	stopping vLLM before next model
2026-06-25T06:14:09Z	gemma3_27b_it_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/logs/gemma3_27b_it_local_vllm.log
2026-06-25T06:14:19Z	gemma3_27b_it_local	loading	waited 10s for vLLM
2026-06-25T06:14:29Z	gemma3_27b_it_local	loading	waited 20s for vLLM
2026-06-25T06:14:39Z	gemma3_27b_it_local	loading	waited 30s for vLLM
2026-06-25T06:14:49Z	gemma3_27b_it_local	loading	waited 40s for vLLM
2026-06-25T06:14:59Z	gemma3_27b_it_local	loading	waited 50s for vLLM
2026-06-25T06:15:09Z	gemma3_27b_it_local	loading	waited 60s for vLLM
2026-06-25T06:15:19Z	gemma3_27b_it_local	loading	waited 70s for vLLM
2026-06-25T06:15:29Z	gemma3_27b_it_local	loading	waited 80s for vLLM
2026-06-25T06:15:39Z	gemma3_27b_it_local	loading	waited 90s for vLLM
2026-06-25T06:15:49Z	gemma3_27b_it_local	loading	waited 100s for vLLM
2026-06-25T06:15:59Z	gemma3_27b_it_local	loading	waited 110s for vLLM
2026-06-25T06:16:09Z	gemma3_27b_it_local	loading	waited 120s for vLLM
2026-06-25T06:16:19Z	gemma3_27b_it_local	loading	waited 130s for vLLM
2026-06-25T06:16:19Z	gemma3_27b_it_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-25T06:16:19Z	gemma3_27b_it_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-25T06:16:27Z	gemma3_27b_it_local	running_slice	writing 3584 trajectories to effectbench_omega/outputs/guard_v2_main_gemma3_27b_it_local
2026-06-25T07:56:05Z	gemma3_27b_it_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-25T07:56:59Z	gemma3_27b_it_local	done	slice complete; summary effectbench_omega/jobs/local_open_guard_v2_main_20260624T200115Z/summaries/gemma3_27b_it_local.json
2026-06-25T07:56:59Z	gemma3_27b_it_local	stopping_server	stopping vLLM before next model
2026-06-25T07:57:04Z	queue	done	all model slices complete
