timestamp	model	status	detail
2026-06-22T16:17:51Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T16:17:56Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_main_mc_20260622T161747Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T16:18:06Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T16:18:16Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T16:18:26Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T16:18:36Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T16:18:46Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T16:18:56Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T16:18:56Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T16:18:56Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T16:19:01Z	mistral_small_3_2_24b_local	running_slice	writing 5376 trajectories to effectbench_omega/outputs/main_mc_mistral_small_3_2_24b_local
2026-06-22T16:55:43Z	queue	stopping_user_requested	stopping while still on Mistral due invalid Mistral raw proposal serving
2026-06-22T16:56:05Z	queue	stopped_user_requested	stopped before Qwen/Llama/Gemma because Mistral was still running
