timestamp	model	status	detail
2026-06-22T21:49:53Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T21:49:59Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_main_mc_postfix_20260622T214941Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T21:50:09Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T21:50:19Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T21:50:29Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T21:50:39Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T21:50:49Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T21:50:59Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T21:50:59Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T21:50:59Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T21:51:08Z	mistral_small_3_2_24b_local	running_slice	writing 5376 trajectories to effectbench_omega/outputs/main_mc_postfix_mistral_small_3_2_24b_local
2026-06-23T00:08:42Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-23T00:09:41Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_main_mc_postfix_20260622T214941Z/summaries/mistral_small_3_2_24b_local.json
2026-06-23T00:09:41Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-23T00:09:46Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_main_mc_postfix_20260622T214941Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-23T00:09:56Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-23T00:10:06Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-23T00:10:16Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-23T00:10:26Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-23T00:10:36Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-23T00:10:46Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-23T00:10:56Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-23T00:11:06Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-23T00:11:16Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-23T00:11:26Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-23T00:11:36Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-23T00:11:36Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-23T00:11:36Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-23T00:11:44Z	qwen3_6_35b_a3b_local	running_slice	writing 5376 trajectories to effectbench_omega/outputs/main_mc_postfix_qwen3_6_35b_a3b_local
2026-06-23T00:45:43Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-23T00:46:40Z	qwen3_6_35b_a3b_local	done	slice complete; summary effectbench_omega/jobs/local_open_main_mc_postfix_20260622T214941Z/summaries/qwen3_6_35b_a3b_local.json
2026-06-23T00:46:40Z	qwen3_6_35b_a3b_local	stopping_server	stopping vLLM before next model
2026-06-23T00:46:45Z	llama3_3_70b_awq_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_main_mc_postfix_20260622T214941Z/logs/llama3_3_70b_awq_local_vllm.log
2026-06-23T00:46:55Z	llama3_3_70b_awq_local	loading	waited 10s for vLLM
2026-06-23T00:47:05Z	llama3_3_70b_awq_local	loading	waited 20s for vLLM
2026-06-23T00:47:15Z	llama3_3_70b_awq_local	loading	waited 30s for vLLM
2026-06-23T00:47:25Z	llama3_3_70b_awq_local	loading	waited 40s for vLLM
2026-06-23T00:47:35Z	llama3_3_70b_awq_local	loading	waited 50s for vLLM
2026-06-23T00:47:45Z	llama3_3_70b_awq_local	loading	waited 60s for vLLM
2026-06-23T00:47:55Z	llama3_3_70b_awq_local	loading	waited 70s for vLLM
2026-06-23T00:48:05Z	llama3_3_70b_awq_local	loading	waited 80s for vLLM
2026-06-23T00:48:15Z	llama3_3_70b_awq_local	loading	waited 90s for vLLM
2026-06-23T00:48:15Z	llama3_3_70b_awq_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-23T00:48:15Z	llama3_3_70b_awq_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-23T00:48:23Z	llama3_3_70b_awq_local	running_slice	writing 5376 trajectories to effectbench_omega/outputs/main_mc_postfix_llama3_3_70b_awq_local
