timestamp	model	status	detail
2026-06-25T08:58:28Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local gemma3_27b_it_local llama3_3_70b_awq_local
2026-06-25T08:58:34Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_native_subset_v1_20260625T085816Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-25T08:58:44Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-25T08:58:54Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-25T08:59:04Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-25T08:59:14Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-25T08:59:24Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-25T08:59:34Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-25T08:59:34Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-25T08:59:34Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-25T08:59:43Z	mistral_small_3_2_24b_local	running_slice	writing 1152 trajectories to effectbench_omega/outputs/native_subset_v1_mistral_small_3_2_24b_local
2026-06-25T09:31:24Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-25T09:32:01Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_native_subset_v1_20260625T085816Z/summaries/mistral_small_3_2_24b_local.json
2026-06-25T09:32:01Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-25T09:32:07Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_native_subset_v1_20260625T085816Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-25T09:32:17Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-25T09:32:27Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-25T09:32:37Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-25T09:32:47Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-25T09:32:57Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-25T09:33:07Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-25T09:33:17Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-25T09:33:27Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-25T09:33:37Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-25T09:33:47Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-25T09:33:57Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-25T09:33:57Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-25T09:33:57Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-25T09:34:05Z	qwen3_6_35b_a3b_local	running_slice	writing 1152 trajectories to effectbench_omega/outputs/native_subset_v1_qwen3_6_35b_a3b_local
2026-06-25T09:40:28Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
