timestamp	model	status	detail
2026-06-22T15:48:49Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T15:48:54Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_20260622T154845Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T15:49:04Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T15:49:14Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T15:49:24Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T15:49:34Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T15:49:44Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T15:49:54Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T15:49:54Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T15:49:54Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T15:49:59Z	mistral_small_3_2_24b_local	running_slice	writing 12 trajectories to effectbench_omega/outputs/smoke_mc_mistral_small_3_2_24b_local
2026-06-22T15:50:47Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T15:51:03Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_20260622T154845Z/summaries/mistral_small_3_2_24b_local.json
2026-06-22T15:51:03Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-22T15:51:08Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_20260622T154845Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-22T15:51:18Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
