timestamp	model	status	detail
2026-06-22T16:02:55Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T16:03:00Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_balanced_20260622T160251Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T16:03:10Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T16:03:20Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T16:03:30Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T16:03:40Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T16:03:50Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T16:04:00Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T16:04:00Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T16:04:00Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T16:04:05Z	mistral_small_3_2_24b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_balanced_mistral_small_3_2_24b_local
2026-06-22T16:05:27Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T16:05:42Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_balanced_20260622T160251Z/summaries/mistral_small_3_2_24b_local.json
2026-06-22T16:05:42Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-22T16:05:47Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_balanced_20260622T160251Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-22T16:05:57Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-22T16:06:07Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-22T16:06:17Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-22T16:06:27Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-22T16:06:37Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-22T16:06:47Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-22T16:06:57Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-22T16:07:07Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-22T16:07:17Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-22T16:07:27Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-22T16:07:38Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-22T16:07:38Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T16:07:38Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T16:07:42Z	qwen3_6_35b_a3b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_balanced_qwen3_6_35b_a3b_local
2026-06-22T16:08:11Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T16:08:26Z	qwen3_6_35b_a3b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_balanced_20260622T160251Z/summaries/qwen3_6_35b_a3b_local.json
2026-06-22T16:08:26Z	qwen3_6_35b_a3b_local	stopping_server	stopping vLLM before next model
2026-06-22T16:08:32Z	llama3_3_70b_awq_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_balanced_20260622T160251Z/logs/llama3_3_70b_awq_local_vllm.log
2026-06-22T16:08:42Z	llama3_3_70b_awq_local	loading	waited 10s for vLLM
2026-06-22T16:08:52Z	llama3_3_70b_awq_local	loading	waited 20s for vLLM
2026-06-22T16:09:02Z	llama3_3_70b_awq_local	loading	waited 30s for vLLM
2026-06-22T16:09:12Z	llama3_3_70b_awq_local	loading	waited 40s for vLLM
2026-06-22T16:09:22Z	llama3_3_70b_awq_local	loading	waited 50s for vLLM
2026-06-22T16:09:32Z	llama3_3_70b_awq_local	loading	waited 60s for vLLM
