timestamp	model	status	detail
2026-06-22T20:46:25Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T20:46:30Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T20:46:40Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T20:46:50Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T20:47:00Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T20:47:10Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T20:47:20Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T20:47:30Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T20:47:30Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T20:47:30Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T20:47:40Z	mistral_small_3_2_24b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_default_mistral_small_3_2_24b_local
2026-06-22T20:48:22Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T20:48:52Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/summaries/mistral_small_3_2_24b_local.json
2026-06-22T20:48:52Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-22T20:48:57Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-22T20:49:07Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-22T20:49:17Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-22T20:49:27Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-22T20:49:37Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-22T20:49:47Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-22T20:49:57Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-22T20:50:07Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-22T20:50:17Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-22T20:50:27Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-22T20:50:38Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-22T20:50:48Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-22T20:50:48Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T20:50:48Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T20:50:56Z	qwen3_6_35b_a3b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_default_qwen3_6_35b_a3b_local
2026-06-22T20:51:10Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T20:51:40Z	qwen3_6_35b_a3b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/summaries/qwen3_6_35b_a3b_local.json
2026-06-22T20:51:40Z	qwen3_6_35b_a3b_local	stopping_server	stopping vLLM before next model
2026-06-22T20:51:45Z	llama3_3_70b_awq_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/logs/llama3_3_70b_awq_local_vllm.log
2026-06-22T20:51:55Z	llama3_3_70b_awq_local	loading	waited 10s for vLLM
2026-06-22T20:52:05Z	llama3_3_70b_awq_local	loading	waited 20s for vLLM
2026-06-22T20:52:15Z	llama3_3_70b_awq_local	loading	waited 30s for vLLM
2026-06-22T20:52:25Z	llama3_3_70b_awq_local	loading	waited 40s for vLLM
2026-06-22T20:52:35Z	llama3_3_70b_awq_local	loading	waited 50s for vLLM
2026-06-22T20:52:45Z	llama3_3_70b_awq_local	loading	waited 60s for vLLM
2026-06-22T20:52:55Z	llama3_3_70b_awq_local	loading	waited 70s for vLLM
2026-06-22T20:53:05Z	llama3_3_70b_awq_local	loading	waited 80s for vLLM
2026-06-22T20:53:15Z	llama3_3_70b_awq_local	loading	waited 90s for vLLM
2026-06-22T20:53:15Z	llama3_3_70b_awq_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T20:53:15Z	llama3_3_70b_awq_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T20:53:23Z	llama3_3_70b_awq_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_default_llama3_3_70b_awq_local
2026-06-22T20:56:51Z	llama3_3_70b_awq_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T20:57:20Z	llama3_3_70b_awq_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/summaries/llama3_3_70b_awq_local.json
2026-06-22T20:57:20Z	llama3_3_70b_awq_local	stopping_server	stopping vLLM before next model
2026-06-22T20:57:25Z	gemma3_27b_it_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/logs/gemma3_27b_it_local_vllm.log
2026-06-22T20:57:35Z	gemma3_27b_it_local	loading	waited 10s for vLLM
2026-06-22T20:57:46Z	gemma3_27b_it_local	loading	waited 20s for vLLM
2026-06-22T20:57:56Z	gemma3_27b_it_local	loading	waited 30s for vLLM
2026-06-22T20:58:06Z	gemma3_27b_it_local	loading	waited 40s for vLLM
2026-06-22T20:58:16Z	gemma3_27b_it_local	loading	waited 50s for vLLM
2026-06-22T20:58:26Z	gemma3_27b_it_local	loading	waited 60s for vLLM
2026-06-22T20:58:36Z	gemma3_27b_it_local	loading	waited 70s for vLLM
2026-06-22T20:58:46Z	gemma3_27b_it_local	loading	waited 80s for vLLM
2026-06-22T20:58:56Z	gemma3_27b_it_local	loading	waited 90s for vLLM
2026-06-22T20:59:06Z	gemma3_27b_it_local	loading	waited 100s for vLLM
2026-06-22T20:59:16Z	gemma3_27b_it_local	loading	waited 110s for vLLM
2026-06-22T20:59:26Z	gemma3_27b_it_local	loading	waited 120s for vLLM
2026-06-22T20:59:36Z	gemma3_27b_it_local	loading	waited 130s for vLLM
2026-06-22T20:59:36Z	gemma3_27b_it_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T20:59:36Z	gemma3_27b_it_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T20:59:44Z	gemma3_27b_it_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_default_gemma3_27b_it_local
2026-06-22T21:00:25Z	gemma3_27b_it_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T21:00:54Z	gemma3_27b_it_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_default_20260622T204613Z/summaries/gemma3_27b_it_local.json
2026-06-22T21:00:54Z	gemma3_27b_it_local	stopping_server	stopping vLLM before next model
2026-06-22T21:01:00Z	queue	done	all model slices complete
