timestamp	model	status	detail
2026-06-22T17:47:51Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T17:47:56Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T17:48:06Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T17:48:16Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T17:48:26Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T17:48:36Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T17:48:46Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T17:48:56Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T17:48:56Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:48:56Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:49:05Z	mistral_small_3_2_24b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix2_mistral_small_3_2_24b_local
2026-06-22T17:49:46Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:50:16Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/summaries/mistral_small_3_2_24b_local.json
2026-06-22T17:50:16Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-22T17:50:21Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-22T17:50:31Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-22T17:50:41Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-22T17:50:51Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-22T17:51:01Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-22T17:51:11Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-22T17:51:21Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-22T17:51:31Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-22T17:51:41Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-22T17:51:51Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-22T17:52:01Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-22T17:52:11Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-22T17:52:11Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:52:11Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:52:19Z	qwen3_6_35b_a3b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix2_qwen3_6_35b_a3b_local
2026-06-22T17:52:43Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:53:12Z	qwen3_6_35b_a3b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/summaries/qwen3_6_35b_a3b_local.json
2026-06-22T17:53:12Z	qwen3_6_35b_a3b_local	stopping_server	stopping vLLM before next model
2026-06-22T17:53:18Z	llama3_3_70b_awq_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/logs/llama3_3_70b_awq_local_vllm.log
2026-06-22T17:53:28Z	llama3_3_70b_awq_local	loading	waited 10s for vLLM
2026-06-22T17:53:38Z	llama3_3_70b_awq_local	loading	waited 20s for vLLM
2026-06-22T17:53:48Z	llama3_3_70b_awq_local	loading	waited 30s for vLLM
2026-06-22T17:53:58Z	llama3_3_70b_awq_local	loading	waited 40s for vLLM
2026-06-22T17:54:08Z	llama3_3_70b_awq_local	loading	waited 50s for vLLM
2026-06-22T17:54:18Z	llama3_3_70b_awq_local	loading	waited 60s for vLLM
2026-06-22T17:54:28Z	llama3_3_70b_awq_local	loading	waited 70s for vLLM
2026-06-22T17:54:38Z	llama3_3_70b_awq_local	loading	waited 80s for vLLM
2026-06-22T17:54:48Z	llama3_3_70b_awq_local	loading	waited 90s for vLLM
2026-06-22T17:54:48Z	llama3_3_70b_awq_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:54:48Z	llama3_3_70b_awq_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:54:56Z	llama3_3_70b_awq_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix2_llama3_3_70b_awq_local
2026-06-22T17:57:57Z	llama3_3_70b_awq_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:58:27Z	llama3_3_70b_awq_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/summaries/llama3_3_70b_awq_local.json
2026-06-22T17:58:27Z	llama3_3_70b_awq_local	stopping_server	stopping vLLM before next model
2026-06-22T17:58:32Z	gemma3_27b_it_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix2_20260622T174739Z/logs/gemma3_27b_it_local_vllm.log
2026-06-22T17:58:42Z	gemma3_27b_it_local	loading	waited 10s for vLLM
2026-06-22T17:58:52Z	gemma3_27b_it_local	loading	waited 20s for vLLM
2026-06-22T17:59:02Z	gemma3_27b_it_local	loading	waited 30s for vLLM
2026-06-22T17:59:12Z	gemma3_27b_it_local	loading	waited 40s for vLLM
2026-06-22T17:59:22Z	gemma3_27b_it_local	loading	waited 50s for vLLM
2026-06-22T17:59:32Z	gemma3_27b_it_local	loading	waited 60s for vLLM
2026-06-22T17:59:42Z	gemma3_27b_it_local	loading	waited 70s for vLLM
2026-06-22T17:59:52Z	gemma3_27b_it_local	loading	waited 80s for vLLM
2026-06-22T18:00:02Z	gemma3_27b_it_local	loading	waited 90s for vLLM
2026-06-22T18:00:12Z	gemma3_27b_it_local	loading	waited 100s for vLLM
2026-06-22T18:00:22Z	gemma3_27b_it_local	loading	waited 110s for vLLM
