timestamp	model	status	detail
2026-06-22T17:27:51Z	queue	started	ordered run: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-22T17:27:56Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-22T17:28:06Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-22T17:28:16Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-22T17:28:26Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-22T17:28:36Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-22T17:28:46Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-22T17:28:56Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-22T17:28:56Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:28:56Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:29:06Z	mistral_small_3_2_24b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix_mistral_small_3_2_24b_local
2026-06-22T17:29:40Z	mistral_small_3_2_24b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:30:10Z	mistral_small_3_2_24b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/summaries/mistral_small_3_2_24b_local.json
2026-06-22T17:30:10Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-22T17:30:15Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-22T17:30:25Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-22T17:30:35Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-22T17:30:45Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-22T17:30:55Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-22T17:31:05Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-22T17:31:15Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-22T17:31:25Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-22T17:31:35Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-22T17:31:45Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-22T17:31:55Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-22T17:32:05Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-22T17:32:05Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:32:05Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:32:13Z	qwen3_6_35b_a3b_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix_qwen3_6_35b_a3b_local
2026-06-22T17:32:37Z	qwen3_6_35b_a3b_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:33:06Z	qwen3_6_35b_a3b_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/summaries/qwen3_6_35b_a3b_local.json
2026-06-22T17:33:06Z	qwen3_6_35b_a3b_local	stopping_server	stopping vLLM before next model
2026-06-22T17:33:12Z	llama3_3_70b_awq_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/logs/llama3_3_70b_awq_local_vllm.log
2026-06-22T17:33:22Z	llama3_3_70b_awq_local	loading	waited 10s for vLLM
2026-06-22T17:33:32Z	llama3_3_70b_awq_local	loading	waited 20s for vLLM
2026-06-22T17:33:42Z	llama3_3_70b_awq_local	loading	waited 30s for vLLM
2026-06-22T17:33:52Z	llama3_3_70b_awq_local	loading	waited 40s for vLLM
2026-06-22T17:34:02Z	llama3_3_70b_awq_local	loading	waited 50s for vLLM
2026-06-22T17:34:12Z	llama3_3_70b_awq_local	loading	waited 60s for vLLM
2026-06-22T17:34:22Z	llama3_3_70b_awq_local	loading	waited 70s for vLLM
2026-06-22T17:34:32Z	llama3_3_70b_awq_local	loading	waited 80s for vLLM
2026-06-22T17:34:42Z	llama3_3_70b_awq_local	loading	waited 90s for vLLM
2026-06-22T17:34:42Z	llama3_3_70b_awq_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:34:42Z	llama3_3_70b_awq_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:34:50Z	llama3_3_70b_awq_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix_llama3_3_70b_awq_local
2026-06-22T17:37:22Z	llama3_3_70b_awq_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:37:51Z	llama3_3_70b_awq_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/summaries/llama3_3_70b_awq_local.json
2026-06-22T17:37:51Z	llama3_3_70b_awq_local	stopping_server	stopping vLLM before next model
2026-06-22T17:37:56Z	gemma3_27b_it_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/logs/gemma3_27b_it_local_vllm.log
2026-06-22T17:38:06Z	gemma3_27b_it_local	loading	waited 10s for vLLM
2026-06-22T17:38:16Z	gemma3_27b_it_local	loading	waited 20s for vLLM
2026-06-22T17:38:26Z	gemma3_27b_it_local	loading	waited 30s for vLLM
2026-06-22T17:38:36Z	gemma3_27b_it_local	loading	waited 40s for vLLM
2026-06-22T17:38:46Z	gemma3_27b_it_local	loading	waited 50s for vLLM
2026-06-22T17:38:56Z	gemma3_27b_it_local	loading	waited 60s for vLLM
2026-06-22T17:39:06Z	gemma3_27b_it_local	loading	waited 70s for vLLM
2026-06-22T17:39:16Z	gemma3_27b_it_local	loading	waited 80s for vLLM
2026-06-22T17:39:26Z	gemma3_27b_it_local	loading	waited 90s for vLLM
2026-06-22T17:39:36Z	gemma3_27b_it_local	loading	waited 100s for vLLM
2026-06-22T17:39:47Z	gemma3_27b_it_local	loading	waited 110s for vLLM
2026-06-22T17:39:57Z	gemma3_27b_it_local	loading	waited 120s for vLLM
2026-06-22T17:40:07Z	gemma3_27b_it_local	loading	waited 130s for vLLM
2026-06-22T17:40:07Z	gemma3_27b_it_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-22T17:40:07Z	gemma3_27b_it_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-22T17:40:15Z	gemma3_27b_it_local	running_slice	writing 21 trajectories to effectbench_omega/outputs/smoke_mc_postfix_gemma3_27b_it_local
2026-06-22T17:40:58Z	gemma3_27b_it_local	verifying	run_online finished; running kernel/no-oracle/cost checks
2026-06-22T17:41:28Z	gemma3_27b_it_local	done	slice complete; summary effectbench_omega/jobs/local_open_smoke_mc_postfix_20260622T172744Z/summaries/gemma3_27b_it_local.json
2026-06-22T17:41:28Z	gemma3_27b_it_local	stopping_server	stopping vLLM before next model
2026-06-22T17:41:33Z	queue	done	all model slices complete
