timestamp	step	status	detail
2026-06-25T08:29:59Z	legacy_generated_trace_verifier	running	.venv/bin/python effectbench_omega/effectbench/kernel/verifier.py --traces effectbench_omega/outputs/guard_v2_main_with_base_all_local/traces.parquet --schemas effectbench_omega/schemas --out effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_legacy_generated_trace
2026-06-25T08:32:04Z	legacy_generated_trace_verifier	done	log effectbench_omega/jobs/stage3_canonical_guard_v2_main_with_base_20260625T082959Z/logs/legacy_generated_trace_verifier.log
2026-06-25T08:32:04Z	canonical_enumerated_frontier	running	.venv/bin/python effectbench_omega/effectbench/kernel/enumerate_frontier.py --traces effectbench_omega/outputs/guard_v2_main_with_base_all_local/traces.parquet --certificates effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_legacy_generated_trace/certificates.parquet --out effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical --tables-out effectbench_omega/tables/frontier_canonical_guard_v2_main_with_base_all_local_canonical.csv --report-out effectbench_omega/reports/frontier_canonical_guard_v2_main_with_base_all_local_canonical.md --gate canonical
2026-06-25T08:33:00Z	canonical_enumerated_frontier	done	log effectbench_omega/jobs/stage3_canonical_guard_v2_main_with_base_20260625T082959Z/logs/canonical_enumerated_frontier.log
2026-06-25T08:33:00Z	no_oracle_report	running	.venv/bin/python effectbench_omega/effectbench/audit/no_oracle_report.py --runtime-logs effectbench_omega/outputs/guard_v2_main_with_base_all_local/runtime_logs.parquet --out effectbench_omega/tables/no_oracle_guard_v2_main_with_base_all_local_canonical.csv
2026-06-25T08:33:12Z	no_oracle_report	done	log effectbench_omega/jobs/stage3_canonical_guard_v2_main_with_base_20260625T082959Z/logs/no_oracle_report.log
2026-06-25T08:33:12Z	projection_loss	running	.venv/bin/python effectbench_omega/effectbench/baselines/project.py --traces effectbench_omega/outputs/guard_v2_main_with_base_all_local/traces.parquet --certificates effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet --baselines FINAL_STATE CORE_DFA MINISCOPE_PERMISSION CONTRACT_MENU_CMTF REVISABILITY MODERNSTACK_PROJECTION KERNEL_FULL --out effectbench_omega/tables/projection_loss_guard_v2_main_with_base_all_local_canonical.csv --reason-out effectbench_omega/tables/projection_loss_guard_v2_main_with_base_all_local_canonical_reasons.csv
2026-06-25T08:33:27Z	projection_loss	done	log effectbench_omega/jobs/stage3_canonical_guard_v2_main_with_base_20260625T082959Z/logs/projection_loss.log
2026-06-25T08:33:27Z	cegar	running	.venv/bin/python effectbench_omega/effectbench/audit/cegar.py --traces effectbench_omega/outputs/guard_v2_main_with_base_all_local/traces.parquet --certificates effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet --schemas effectbench_omega/schemas --omit-fields outbox policy_obligation contract_artifact_hash virtual_clock memory_cache user_visible_exposure compensation_or_payment_hold --out effectbench_omega/tables/cegar_rejections_guard_v2_main_with_base_all_local_canonical.csv --label-changes effectbench_omega/tables/cegar_label_changes_guard_v2_main_with_base_all_local_canonical.csv
2026-06-25T08:33:49Z	cegar	done	log effectbench_omega/jobs/stage3_canonical_guard_v2_main_with_base_20260625T082959Z/logs/cegar.log
2026-06-25T08:33:49Z	lattice_sensitivity	running	.venv/bin/python effectbench_omega/effectbench/metrics/lattice_sensitivity.py --certificates effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet --lattices effectbench_omega/configs/lattices --out effectbench_omega/tables/lattice_sensitivity_guard_v2_main_with_base_all_local_canonical.csv
