timestamp	step	status	detail
2026-06-23T21:55:19Z	kernel_verifier	running	.venv/bin/python effectbench_omega/effectbench/kernel/verifier.py --traces effectbench_omega/outputs/main_mc_postfix_all_local/traces.parquet --schemas effectbench_omega/schemas --out effectbench_omega/outputs/main_mc_postfix_all_local/kernel
2026-06-23T21:57:28Z	kernel_verifier	done	log effectbench_omega/jobs/stage3_hardened_main_mc_postfix_all_local_20260623T215519Z/logs/kernel_verifier.log
2026-06-23T21:57:28Z	no_oracle_report	running	.venv/bin/python effectbench_omega/effectbench/audit/no_oracle_report.py --runtime-logs effectbench_omega/outputs/main_mc_postfix_all_local/runtime_logs.parquet --out effectbench_omega/tables/no_oracle_main_mc_postfix_all_local.csv
2026-06-23T21:57:39Z	no_oracle_report	done	log effectbench_omega/jobs/stage3_hardened_main_mc_postfix_all_local_20260623T215519Z/logs/no_oracle_report.log
2026-06-23T21:57:39Z	projection_loss	running	.venv/bin/python effectbench_omega/effectbench/baselines/project.py --traces effectbench_omega/outputs/main_mc_postfix_all_local/traces.parquet --certificates effectbench_omega/outputs/main_mc_postfix_all_local/kernel/certificates.parquet --baselines FINAL_STATE CORE_DFA MINISCOPE_PERMISSION CONTRACT_MENU_CMTF REVISABILITY MODERNSTACK_PROJECTION KERNEL_FULL --out effectbench_omega/tables/projection_loss_main_mc_postfix_all_local.csv --reason-out effectbench_omega/tables/projection_loss_main_mc_postfix_all_local_reasons.csv
2026-06-23T21:57:55Z	projection_loss	done	log effectbench_omega/jobs/stage3_hardened_main_mc_postfix_all_local_20260623T215519Z/logs/projection_loss.log
2026-06-23T21:57:55Z	cegar	running	.venv/bin/python effectbench_omega/effectbench/audit/cegar.py --traces effectbench_omega/outputs/main_mc_postfix_all_local/traces.parquet --schemas effectbench_omega/schemas --omit-fields outbox policy_obligation contract_artifact_hash virtual_clock memory_cache user_visible_exposure compensation_or_payment_hold --out effectbench_omega/tables/cegar_rejections_main_mc_postfix_all_local.csv --label-changes effectbench_omega/tables/cegar_label_changes_main_mc_postfix_all_local.csv
2026-06-23T21:58:17Z	cegar	done	log effectbench_omega/jobs/stage3_hardened_main_mc_postfix_all_local_20260623T215519Z/logs/cegar.log
2026-06-23T21:58:17Z	lattice_sensitivity	running	.venv/bin/python effectbench_omega/effectbench/metrics/lattice_sensitivity.py --certificates effectbench_omega/outputs/main_mc_postfix_all_local/kernel/certificates.parquet --lattices effectbench_omega/configs/lattices --out effectbench_omega/tables/lattice_sensitivity_main_mc_postfix_all_local.csv
2026-06-23T21:58:28Z	lattice_sensitivity	done	log effectbench_omega/jobs/stage3_hardened_main_mc_postfix_all_local_20260623T215519Z/logs/lattice_sensitivity.log
2026-06-23T21:58:28Z	bootstrap	running	.venv/bin/python effectbench_omega/effectbench/metrics/bootstrap.py --certificates effectbench_omega/outputs/main_mc_postfix_all_local/kernel/certificates.parquet --group-by task_id model seed family --methods paired_bootstrap task_cluster hierarchical --out effectbench_omega/tables/uncertainty_main_mc_postfix_all_local.csv --n-bootstrap 2000 --seed 13
