timestamp	model	status	detail
2026-06-24T14:38:31Z	queue	started	Stage 3 V2 smokes: mistral_small_3_2_24b_local qwen3_6_35b_a3b_local llama3_3_70b_awq_local gemma3_27b_it_local
2026-06-24T14:38:36Z	mistral_small_3_2_24b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/stage3_v2_smoke_20260624T143808Z/logs/mistral_small_3_2_24b_local_vllm.log
2026-06-24T14:38:46Z	mistral_small_3_2_24b_local	loading	waited 10s for vLLM
2026-06-24T14:38:56Z	mistral_small_3_2_24b_local	loading	waited 20s for vLLM
2026-06-24T14:39:06Z	mistral_small_3_2_24b_local	loading	waited 30s for vLLM
2026-06-24T14:39:16Z	mistral_small_3_2_24b_local	loading	waited 40s for vLLM
2026-06-24T14:39:26Z	mistral_small_3_2_24b_local	loading	waited 50s for vLLM
2026-06-24T14:39:36Z	mistral_small_3_2_24b_local	loading	waited 60s for vLLM
2026-06-24T14:39:36Z	mistral_small_3_2_24b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-24T14:39:36Z	mistral_small_3_2_24b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-24T14:39:45Z	mistral_small_3_2_24b_local	running_v2_smoke	writing 14 V2 smoke trajectories to effectbench_omega/outputs/stage3_v2_smoke_mistral_small_3_2_24b_local
2026-06-24T14:40:49Z	mistral_small_3_2_24b_local	v2_smoke_done	summary effectbench_omega/jobs/stage3_v2_smoke_20260624T143808Z/summaries/mistral_small_3_2_24b_local_v2_smoke.json
2026-06-24T14:40:49Z	mistral_small_3_2_24b_local	stopping_server	stopping vLLM before next model
2026-06-24T14:40:55Z	qwen3_6_35b_a3b_local	launching	starting vLLM with TP=4 on GPUs 0,1,2,3; log effectbench_omega/jobs/stage3_v2_smoke_20260624T143808Z/logs/qwen3_6_35b_a3b_local_vllm.log
2026-06-24T14:41:05Z	qwen3_6_35b_a3b_local	loading	waited 10s for vLLM
2026-06-24T14:41:15Z	qwen3_6_35b_a3b_local	loading	waited 20s for vLLM
2026-06-24T14:41:25Z	qwen3_6_35b_a3b_local	loading	waited 30s for vLLM
2026-06-24T14:41:35Z	qwen3_6_35b_a3b_local	loading	waited 40s for vLLM
2026-06-24T14:41:45Z	qwen3_6_35b_a3b_local	loading	waited 50s for vLLM
2026-06-24T14:41:55Z	qwen3_6_35b_a3b_local	loading	waited 60s for vLLM
2026-06-24T14:42:05Z	qwen3_6_35b_a3b_local	loading	waited 70s for vLLM
2026-06-24T14:42:15Z	qwen3_6_35b_a3b_local	loading	waited 80s for vLLM
2026-06-24T14:42:25Z	qwen3_6_35b_a3b_local	loading	waited 90s for vLLM
2026-06-24T14:42:35Z	qwen3_6_35b_a3b_local	loading	waited 100s for vLLM
2026-06-24T14:42:45Z	qwen3_6_35b_a3b_local	loading	waited 110s for vLLM
2026-06-24T14:42:45Z	qwen3_6_35b_a3b_local	server_ready	vLLM ready on http://localhost:8001/v1; TP=4; CUDA_VISIBLE_DEVICES=0,1,2,3
2026-06-24T14:42:45Z	qwen3_6_35b_a3b_local	endpoint_smoke	health smoke against http://localhost:8001/v1
2026-06-24T14:42:53Z	qwen3_6_35b_a3b_local	running_v2_smoke	writing 14 V2 smoke trajectories to effectbench_omega/outputs/stage3_v2_smoke_qwen3_6_35b_a3b_local
