timestamp	step	status	detail
2026-06-25T19:18:26Z	legacy_generated_trace_verifier	running	.venv/bin/python effectbench_omega/effectbench/kernel/verifier.py --traces effectbench_omega/outputs/native_subset_v1_all_local/traces.parquet --schemas effectbench_omega/schemas --out effectbench_omega/outputs/native_subset_v1_all_local/kernel_legacy_generated_trace
2026-06-25T19:19:09Z	legacy_generated_trace_verifier	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/legacy_generated_trace_verifier.log
2026-06-25T19:19:09Z	canonical_enumerated_frontier	running	.venv/bin/python effectbench_omega/effectbench/kernel/enumerate_frontier.py --traces effectbench_omega/outputs/native_subset_v1_all_local/traces.parquet --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_legacy_generated_trace/certificates.parquet --out effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical --tables-out effectbench_omega/tables/frontier_canonical_native_subset_v1_all_local_canonical.csv --report-out effectbench_omega/reports/frontier_canonical_native_subset_v1_all_local_canonical.md --gate canonical
2026-06-25T19:19:32Z	canonical_enumerated_frontier	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/canonical_enumerated_frontier.log
2026-06-25T19:19:32Z	no_oracle_report	running	.venv/bin/python effectbench_omega/effectbench/audit/no_oracle_report.py --runtime-logs effectbench_omega/outputs/native_subset_v1_all_local/runtime_logs.parquet --out effectbench_omega/tables/no_oracle_native_subset_v1_all_local_canonical.csv
2026-06-25T19:19:43Z	no_oracle_report	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/no_oracle_report.log
2026-06-25T19:19:43Z	projection_loss	running	.venv/bin/python effectbench_omega/effectbench/baselines/project.py --traces effectbench_omega/outputs/native_subset_v1_all_local/traces.parquet --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --baselines FINAL_STATE CORE_DFA MINISCOPE_PERMISSION CONTRACT_MENU_CMTF REVISABILITY MODERNSTACK_PROJECTION KERNEL_FULL --out effectbench_omega/tables/projection_loss_native_subset_v1_all_local_canonical.csv --reason-out effectbench_omega/tables/projection_loss_native_subset_v1_all_local_canonical_reasons.csv
2026-06-25T19:19:55Z	projection_loss	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/projection_loss.log
2026-06-25T19:19:55Z	cegar	running	.venv/bin/python effectbench_omega/effectbench/audit/cegar.py --traces effectbench_omega/outputs/native_subset_v1_all_local/traces.parquet --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --schemas effectbench_omega/schemas --omit-fields outbox policy_obligation contract_artifact_hash virtual_clock memory_cache user_visible_exposure compensation_or_payment_hold --out effectbench_omega/tables/cegar_rejections_native_subset_v1_all_local_canonical.csv --label-changes effectbench_omega/tables/cegar_label_changes_native_subset_v1_all_local_canonical.csv
2026-06-25T19:20:09Z	cegar	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/cegar.log
2026-06-25T19:20:09Z	lattice_sensitivity	running	.venv/bin/python effectbench_omega/effectbench/metrics/lattice_sensitivity.py --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --lattices effectbench_omega/configs/lattices --out effectbench_omega/tables/lattice_sensitivity_native_subset_v1_all_local_canonical.csv
2026-06-25T19:20:21Z	lattice_sensitivity	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/lattice_sensitivity.log
2026-06-25T19:20:21Z	bootstrap	running	.venv/bin/python effectbench_omega/effectbench/metrics/bootstrap.py --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --group-by task_id model seed family --methods paired_bootstrap task_cluster hierarchical --out effectbench_omega/tables/uncertainty_native_subset_v1_all_local_canonical.csv --n-bootstrap 2000 --seed 13 --systems BASE PROJ_GUARD_V2 EFFECTGUARD_V2
2026-06-25T19:20:33Z	bootstrap	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/bootstrap.log
2026-06-25T19:20:33Z	guard_tie	running	.venv/bin/python effectbench_omega/effectbench/audit/guard_tie.py --traces effectbench_omega/outputs/native_subset_v1_all_local/traces.parquet --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --systems PROJ_GUARD_V2 EFFECTGUARD_V2 --out effectbench_omega/tables/guard_tie_native_subset_v1_all_local_canonical.csv --details-out effectbench_omega/tables/guard_tie_native_subset_v1_all_local_canonical_details.csv
2026-06-25T19:20:47Z	guard_tie	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/guard_tie.log
2026-06-25T19:20:47Z	replay_bundles	running	.venv/bin/python effectbench_omega/effectbench/audit/replay_bundles.py --certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --traces effectbench_omega/outputs/native_subset_v1_all_local/traces.parquet --sample strict_excess=100 minimal=60 incomparable=60 necessary_high=30 --out effectbench_omega/witness_bundles/native_subset_v1_all_local_canonical
2026-06-25T19:20:58Z	replay_bundles	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/replay_bundles.log
2026-06-25T19:20:58Z	replay_certificates	running	.venv/bin/python effectbench_omega/effectbench/audit/replay_certificates.py --bundle-dir effectbench_omega/witness_bundles/native_subset_v1_all_local_canonical --out effectbench_omega/reports/certificate_replay_native_subset_v1_all_local_canonical.md --strict
2026-06-25T19:21:11Z	replay_certificates	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/replay_certificates.log
2026-06-25T19:21:11Z	cost_audit	running	.venv/bin/python effectbench_omega/effectbench/metrics/cost_audit.py --logs effectbench_omega/outputs/native_subset_v1_all_local/api_logs.jsonl --out effectbench_omega/reports/native_subset_v1_all_local_canonical_cost.md --final
2026-06-25T19:21:23Z	cost_audit	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/cost_audit.log
2026-06-25T19:21:23Z	aggregate	running	.venv/bin/python effectbench_omega/effectbench/metrics/aggregate.py --main-certificates effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet --projection-loss effectbench_omega/tables/projection_loss_native_subset_v1_all_local_canonical.csv --cost-logs effectbench_omega/outputs/native_subset_v1_all_local/api_logs.jsonl --out-tables effectbench_omega/tables/native_subset_v1_all_local_canonical --out-figures effectbench_omega/figures/native_subset_v1_all_local_canonical --claim-registry effectbench_omega/metrics/claim_registry_native_subset_v1_all_local_canonical.csv
2026-06-25T19:21:36Z	aggregate	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/aggregate.log
2026-06-25T19:21:36Z	no_oracle_pytest	running	.venv/bin/python -m pytest -q effectbench_omega/tests/no_oracle
2026-06-25T19:21:48Z	no_oracle_pytest	done	log effectbench_omega/jobs/stage5_canonical_native_subset_v1_20260625T191826Z/logs/no_oracle_pytest.log
2026-06-25T19:21:48Z	stage3	done	offline suite complete for native_subset_v1_all_local; certificates=effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet
