claim_id,value,source,status,notes
headline_trace_count,21504.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_model_count,4.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_system_count,3.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_regime_count,7.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_family_count,5.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_seed_count,2.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_count,4638.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_rate,0.21568080357142858,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_kernel_success_rate,0.7843191964285714,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_trajectory_count,7168.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_raw_success,1.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_strict_excess_rate,0.5620814732142857,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_kernel_success,0.4379185267857143,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_trajectory_count,7168.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_raw_success,1.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_strict_excess_rate,0.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_kernel_success,1.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_trajectory_count,7168.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_raw_success,1.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_strict_excess_rate,0.0849609375,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_kernel_success,0.9150390625,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_raw_minus_kernel_success_gap,0.5620814732142857,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_strict_minus_proj_guard_v2_strict,0.4771205357142857,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_strict_minus_effectguard_v2_strict,0.0849609375,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,"Tiny difference; use as tie/near-tie evidence, not a strong superiority claim."
effectguard_v2_kernel_minus_base_kernel,0.5620814732142857,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_raw_minus_base_raw,0.0,effectbench_omega/outputs/shared_proposal_v3_nosystem_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
projection_final_state_accepted_success_rate,1.0,effectbench_omega/tables/projection_loss_shared_proposal_v3_nosystem_all_local_canonical.csv,computed,
projection_final_state_residual_strict_rate,0.2156808035714285,effectbench_omega/tables/projection_loss_shared_proposal_v3_nosystem_all_local_canonical.csv,computed,
projection_final_state_false_denial,0.0,effectbench_omega/tables/projection_loss_shared_proposal_v3_nosystem_all_local_canonical.csv,computed,
projection_core_dfa_accepted_success_rate,1.0,effectbench_omega/tables/projection_loss_shared_proposal_v3_nosystem_all_local_canonical.csv,computed,
projection_core_dfa_residual_strict_rate,0.2156808035714285,effectbench_omega/tables/projection_loss_shared_proposal_v3_nosystem_all_local_canonical.csv,computed,
