claim_id,value,source,status,notes
headline_trace_count,3072.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_model_count,4.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_system_count,3.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_regime_count,4.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_family_count,2.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_seed_count,2.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_count,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_rate,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_kernel_success_rate,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_trajectory_count,1024.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_raw_success,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_strict_excess_rate,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_kernel_success,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_trajectory_count,1024.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_raw_success,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_strict_excess_rate,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_kernel_success,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_trajectory_count,1024.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_raw_success,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_strict_excess_rate,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_kernel_success,1.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_raw_minus_kernel_success_gap,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_strict_minus_proj_guard_v2_strict,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_strict_minus_effectguard_v2_strict,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,"Tiny difference; use as tie/near-tie evidence, not a strong superiority claim."
effectguard_v2_kernel_minus_base_kernel,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_raw_minus_base_raw,0.0,effectbench_omega/outputs/stage3_stress_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
projection_final_state_accepted_success_rate,1.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_final_state_residual_strict_rate,0.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_final_state_false_denial,0.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_core_dfa_accepted_success_rate,1.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_core_dfa_residual_strict_rate,0.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_core_dfa_false_denial,0.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_miniscope_permission_accepted_success_rate,0.197265625,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_miniscope_permission_residual_strict_rate,0.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_miniscope_permission_false_denial,0.802734375,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_contract_menu_cmtf_accepted_success_rate,0.625,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
projection_contract_menu_cmtf_residual_strict_rate,0.0,effectbench_omega/tables/projection_loss_stage3_stress_all_local_canonical.csv,computed,
