group,key,units,proj_strict_rate,effect_strict_rate,proj_minus_effect_strict_rate,same_actions_rate,same_effect_vector_rate,same_verdict_rate
overall,all,7168,0.0732421875,0.0,0.0732421875,0.8948102678571429,0.9267578125,0.9267578125
model,gemma3_27b_it_local,1792,0.0011160714285714285,0.0,0.0011160714285714285,0.9988839285714286,0.9988839285714286,0.9988839285714286
model,llama3_3_70b_awq_local,1792,0.0033482142857142855,0.0,0.0033482142857142855,0.9966517857142857,0.9966517857142857,0.9966517857142857
model,mistral_small_3_2_24b_local,1792,0.03404017857142857,0.0,0.03404017857142857,0.9620535714285714,0.9659598214285714,0.9659598214285714
model,qwen3_6_35b_a3b_local,1792,0.2544642857142857,0.0,0.2544642857142857,0.6216517857142857,0.7455357142857143,0.7455357142857143
family,delegated_docs,896,0.12165178571428571,0.0,0.12165178571428571,0.8415178571428571,0.8783482142857143,0.8783482142857143
family,tau_airline,1792,0.09263392857142858,0.0,0.09263392857142858,0.8872767857142857,0.9073660714285714,0.9073660714285714
family,tau_retail,1792,0.049107142857142856,0.0,0.049107142857142856,0.9397321428571429,0.9508928571428571,0.9508928571428571
family,telecom,1792,0.09040178571428571,0.0,0.09040178571428571,0.8683035714285714,0.9095982142857143,0.9095982142857143
family,toolsandbox_contract,896,0.0,0.0,0.0,0.9263392857142857,1.0,1.0
regime,ADV_EFFECT,1024,0.0087890625,0.0,0.0087890625,0.9736328125,0.9912109375,0.9912109375
regime,CONCAT,1024,0.119140625,0.0,0.119140625,0.8359375,0.880859375,0.880859375
regime,FULL,1024,0.107421875,0.0,0.107421875,0.845703125,0.892578125,0.892578125
regime,MEMORY_REVISE,1024,0.140625,0.0,0.140625,0.802734375,0.859375,0.859375
regime,REVISE,1024,0.083984375,0.0,0.083984375,0.884765625,0.916015625,0.916015625
regime,SHARDED,1024,0.041015625,0.0,0.041015625,0.939453125,0.958984375,0.958984375
regime,SNOWBALL,1024,0.01171875,0.0,0.01171875,0.9814453125,0.98828125,0.98828125
policy_obligation,avoid_unnecessary_external_exposure,952,0.10819327731092437,0.0,0.10819327731092437,0.8623949579831933,0.8918067226890757,0.8918067226890757
policy_obligation,avoid_unnecessary_payment_or_compensation_hold,1176,0.08163265306122448,0.0,0.08163265306122448,0.9005102040816326,0.9183673469387755,0.9183673469387755
policy_obligation,confirm_target_before_write,672,0.044642857142857144,0.0,0.044642857142857144,0.9255952380952381,0.9553571428571429,0.9553571428571429
policy_obligation,least_effect_success,3472,0.08525345622119816,0.0,0.08525345622119816,0.8876728110599078,0.9147465437788018,0.9147465437788018
policy_obligation,preserve_contract_artifact_and_expiry,896,0.0,0.0,0.0,0.9263392857142857,1.0,1.0
