group,key,units,proj_strict_rate,effect_strict_rate,proj_minus_effect_strict_rate,same_actions_rate,same_effect_vector_rate,same_verdict_rate
overall,all,7168,0.0004185267857142857,0.0,0.0004185267857142857,0.6912667410714286,0.9995814732142857,0.9995814732142857
model,gemma3_27b_it_local,1792,0.0,0.0,0.0,0.7170758928571429,1.0,1.0
model,llama3_3_70b_awq_local,1792,0.0,0.0,0.0,0.7142857142857143,1.0,1.0
model,mistral_small_3_2_24b_local,1792,0.0016741071428571428,0.0,0.0016741071428571428,0.7165178571428571,0.9983258928571429,0.9983258928571429
model,qwen3_6_35b_a3b_local,1792,0.0,0.0,0.0,0.6171875,1.0,1.0
family,delegated_docs,896,0.0,0.0,0.0,0.6975446428571429,1.0,1.0
family,tau_airline,1792,0.0,0.0,0.0,0.6774553571428571,1.0,1.0
family,tau_retail,1792,0.0,0.0,0.0,0.6964285714285714,1.0,1.0
family,telecom,1792,0.0016741071428571428,0.0,0.0016741071428571428,0.6819196428571429,0.9983258928571429,0.9983258928571429
family,toolsandbox_contract,896,0.0,0.0,0.0,0.7209821428571429,1.0,1.0
regime,ADV_EFFECT,1024,0.0,0.0,0.0,0.0107421875,1.0,1.0
regime,CONCAT,1024,0.0,0.0,0.0,0.8671875,1.0,1.0
regime,FULL,1024,0.001953125,0.0,0.001953125,0.9296875,0.998046875,0.998046875
regime,MEMORY_REVISE,1024,0.0009765625,0.0,0.0009765625,0.1669921875,0.9990234375,0.9990234375
regime,REVISE,1024,0.0,0.0,0.0,0.921875,1.0,1.0
regime,SHARDED,1024,0.0,0.0,0.0,0.955078125,1.0,1.0
regime,SNOWBALL,1024,0.0,0.0,0.0,0.9873046875,1.0,1.0
policy_obligation,avoid_unnecessary_external_exposure,952,0.0,0.0,0.0,0.7069327731092437,1.0,1.0
policy_obligation,avoid_unnecessary_payment_or_compensation_hold,1176,0.0,0.0,0.0,0.6717687074829932,1.0,1.0
policy_obligation,confirm_target_before_write,672,0.004464285714285714,0.0,0.004464285714285714,0.6934523809523809,0.9955357142857143,0.9955357142857143
policy_obligation,least_effect_success,3472,0.0,0.0,0.0,0.6854838709677419,1.0,1.0
policy_obligation,preserve_contract_artifact_and_expiry,896,0.0,0.0,0.0,0.7209821428571429,1.0,1.0
