group,key,units,proj_strict_rate,effect_strict_rate,proj_minus_effect_strict_rate,same_actions_rate,same_effect_vector_rate,same_verdict_rate
overall,all,1428,0.0,0.0,0.0,0.9677871148459384,1.0,1.0
model,gemma3_27b_it_local,384,0.0,0.0,0.0,1.0,1.0,1.0
model,llama3_3_70b_awq_local,384,0.0,0.0,0.0,1.0,1.0,1.0
model,mistral_small_3_2_24b_local,384,0.0,0.0,0.0,1.0,1.0,1.0
model,qwen3_6_35b_a3b_local,276,0.0,0.0,0.0,0.8333333333333334,1.0,1.0
family,tau2_telecom_native,222,0.0,0.0,0.0,0.9819819819819819,1.0,1.0
family,tau_airline_native,464,0.0,0.0,0.0,0.978448275862069,1.0,1.0
family,tau_retail_native,486,0.0,0.0,0.0,1.0,1.0,1.0
family,toolsandbox_contract_native,256,0.0,0.0,0.0,0.875,1.0,1.0
regime,ADV_EFFECT,384,0.0,0.0,0.0,1.0,1.0,1.0
regime,FULL,344,0.0,0.0,0.0,0.936046511627907,1.0,1.0
regime,MEMORY_REVISE,334,0.0,0.0,0.0,0.9461077844311377,1.0,1.0
regime,SHARDED,366,0.0,0.0,0.0,0.9836065573770492,1.0,1.0
policy_obligation,avoid_unnecessary_external_exposure,64,0.0,0.0,0.0,1.0,1.0,1.0
policy_obligation,avoid_unnecessary_payment_or_compensation_hold,292,0.0,0.0,0.0,0.9863013698630136,1.0,1.0
policy_obligation,confirm_target_before_write,116,0.0,0.0,0.0,1.0,1.0,1.0
policy_obligation,least_effect_success,700,0.0,0.0,0.0,0.9857142857142858,1.0,1.0
policy_obligation,preserve_contract_artifact_and_expiry,256,0.0,0.0,0.0,0.875,1.0,1.0
