group,key,units,proj_strict_rate,effect_strict_rate,proj_minus_effect_strict_rate,same_actions_rate,same_effect_vector_rate,same_verdict_rate
overall,all,7168,0.0849609375,0.0,0.0849609375,0.9072265625,0.9150390625,0.9150390625
model,gemma3_27b_it_local,1792,0.0,0.0,0.0,1.0,1.0,1.0
model,llama3_3_70b_awq_local,1792,0.002232142857142857,0.0,0.002232142857142857,0.9977678571428571,0.9977678571428571,0.9977678571428571
model,mistral_small_3_2_24b_local,1792,0.028459821428571428,0.0,0.028459821428571428,0.9715401785714286,0.9715401785714286,0.9715401785714286
model,qwen3_6_35b_a3b_local,1792,0.3091517857142857,0.0,0.3091517857142857,0.6595982142857143,0.6908482142857143,0.6908482142857143
family,delegated_docs,896,0.14174107142857142,0.0,0.14174107142857142,0.8582589285714286,0.8582589285714286,0.8582589285714286
family,tau_airline,1792,0.12053571428571429,0.0,0.12053571428571429,0.8794642857142857,0.8794642857142857,0.8794642857142857
family,tau_retail,1792,0.05022321428571429,0.0,0.05022321428571429,0.9497767857142857,0.9497767857142857,0.9497767857142857
family,telecom,1792,0.09821428571428571,0.0,0.09821428571428571,0.9017857142857143,0.9017857142857143,0.9017857142857143
family,toolsandbox_contract,896,0.0,0.0,0.0,0.9375,1.0,1.0
regime,ADV_EFFECT,1024,0.01171875,0.0,0.01171875,0.984375,0.98828125,0.98828125
regime,CONCAT,1024,0.0791015625,0.0,0.0791015625,0.8955078125,0.9208984375,0.9208984375
regime,FULL,1024,0.15234375,0.0,0.15234375,0.833984375,0.84765625,0.84765625
regime,MEMORY_REVISE,1024,0.1640625,0.0,0.1640625,0.833984375,0.8359375,0.8359375
regime,REVISE,1024,0.1015625,0.0,0.1015625,0.8984375,0.8984375,0.8984375
regime,SHARDED,1024,0.078125,0.0,0.078125,0.912109375,0.921875,0.921875
regime,SNOWBALL,1024,0.0078125,0.0,0.0078125,0.9921875,0.9921875,0.9921875
policy_obligation,avoid_unnecessary_external_exposure,952,0.125,0.0,0.125,0.875,0.875,0.875
policy_obligation,avoid_unnecessary_payment_or_compensation_hold,1176,0.08843537414965986,0.0,0.08843537414965986,0.9115646258503401,0.9115646258503401,0.9115646258503401
policy_obligation,confirm_target_before_write,672,0.07738095238095238,0.0,0.07738095238095238,0.9226190476190477,0.9226190476190477,0.9226190476190477
policy_obligation,least_effect_success,3472,0.09619815668202765,0.0,0.09619815668202765,0.9038018433179723,0.9038018433179723,0.9038018433179723
policy_obligation,preserve_contract_artifact_and_expiry,896,0.0,0.0,0.0,0.9375,1.0,1.0
