family,regime,system,trajectories,raw_success,strict_excess_per_success,kernel_least_effect_success
delegated_docs,ADV_EFFECT,BASE,128,1.0,0.65625,0.34375
delegated_docs,ADV_EFFECT,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,ADV_EFFECT,PROJ_GUARD_V2,128,1.0,0.0546875,0.9453125
delegated_docs,CONCAT,BASE,128,1.0,0.890625,0.109375
delegated_docs,CONCAT,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,CONCAT,PROJ_GUARD_V2,128,1.0,0.125,0.875
delegated_docs,FULL,BASE,128,1.0,0.9375,0.0625
delegated_docs,FULL,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,FULL,PROJ_GUARD_V2,128,1.0,0.203125,0.796875
delegated_docs,MEMORY_REVISE,BASE,128,1.0,0.203125,0.796875
delegated_docs,MEMORY_REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,MEMORY_REVISE,PROJ_GUARD_V2,128,1.0,0.203125,0.796875
delegated_docs,REVISE,BASE,128,1.0,0.3515625,0.6484375
delegated_docs,REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,REVISE,PROJ_GUARD_V2,128,1.0,0.171875,0.828125
delegated_docs,SHARDED,BASE,128,1.0,0.9375,0.0625
delegated_docs,SHARDED,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,SHARDED,PROJ_GUARD_V2,128,1.0,0.03125,0.96875
delegated_docs,SNOWBALL,BASE,128,1.0,0.1640625,0.8359375
delegated_docs,SNOWBALL,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,SNOWBALL,PROJ_GUARD_V2,128,1.0,0.0625,0.9375
tau_airline,ADV_EFFECT,BASE,256,1.0,0.75,0.25
tau_airline,ADV_EFFECT,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,ADV_EFFECT,PROJ_GUARD_V2,256,1.0,0.0,1.0
tau_airline,CONCAT,BASE,256,1.0,0.9609375,0.0390625
tau_airline,CONCAT,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,CONCAT,PROJ_GUARD_V2,256,1.0,0.1640625,0.8359375
tau_airline,FULL,BASE,256,1.0,0.9609375,0.0390625
tau_airline,FULL,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,FULL,PROJ_GUARD_V2,256,1.0,0.140625,0.859375
tau_airline,MEMORY_REVISE,BASE,256,1.0,0.2734375,0.7265625
tau_airline,MEMORY_REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
