family,regime,system,trajectories,raw_success,strict_excess_per_success,kernel_least_effect_success
delegated_docs,ADV_EFFECT,BASE,128,1.0,0.65625,0.34375
delegated_docs,ADV_EFFECT,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,ADV_EFFECT,PROJ_GUARD,128,1.0,0.0,1.0
delegated_docs,CONCAT,BASE,128,1.0,0.890625,0.109375
delegated_docs,CONCAT,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,CONCAT,PROJ_GUARD,128,1.0,0.0,1.0
delegated_docs,FULL,BASE,128,1.0,0.9375,0.0625
delegated_docs,FULL,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,FULL,PROJ_GUARD,128,1.0,0.0,1.0
delegated_docs,MEMORY_REVISE,BASE,128,1.0,0.203125,0.796875
delegated_docs,MEMORY_REVISE,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,MEMORY_REVISE,PROJ_GUARD,128,1.0,0.0,1.0
delegated_docs,REVISE,BASE,128,1.0,0.3515625,0.6484375
delegated_docs,REVISE,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,REVISE,PROJ_GUARD,128,1.0,0.0,1.0
delegated_docs,SHARDED,BASE,128,1.0,0.9375,0.0625
delegated_docs,SHARDED,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,SHARDED,PROJ_GUARD,128,1.0,0.0,1.0
delegated_docs,SNOWBALL,BASE,128,1.0,0.1640625,0.8359375
delegated_docs,SNOWBALL,EFFECTGUARD,128,1.0,0.0,1.0
delegated_docs,SNOWBALL,PROJ_GUARD,128,1.0,0.0,1.0
tau_airline,ADV_EFFECT,BASE,256,1.0,0.75,0.25
tau_airline,ADV_EFFECT,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,ADV_EFFECT,PROJ_GUARD,256,1.0,0.0,1.0
tau_airline,CONCAT,BASE,256,1.0,0.9609375,0.0390625
tau_airline,CONCAT,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,CONCAT,PROJ_GUARD,256,1.0,0.0,1.0
tau_airline,FULL,BASE,256,1.0,0.9609375,0.0390625
tau_airline,FULL,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,FULL,PROJ_GUARD,256,1.0,0.0,1.0
tau_airline,MEMORY_REVISE,BASE,256,1.0,0.2734375,0.7265625
tau_airline,MEMORY_REVISE,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,MEMORY_REVISE,PROJ_GUARD,256,1.0,0.0,1.0
tau_airline,REVISE,BASE,256,1.0,0.421875,0.578125
tau_airline,REVISE,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,REVISE,PROJ_GUARD,256,1.0,0.0,1.0
tau_airline,SHARDED,BASE,256,1.0,0.9140625,0.0859375
tau_airline,SHARDED,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,SHARDED,PROJ_GUARD,256,1.0,0.0,1.0
tau_airline,SNOWBALL,BASE,256,1.0,0.00390625,0.99609375
tau_airline,SNOWBALL,EFFECTGUARD,256,1.0,0.0,1.0
tau_airline,SNOWBALL,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,ADV_EFFECT,BASE,256,1.0,0.75,0.25
tau_retail,ADV_EFFECT,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,ADV_EFFECT,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,CONCAT,BASE,256,1.0,0.8359375,0.1640625
tau_retail,CONCAT,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,CONCAT,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,FULL,BASE,256,1.0,0.8828125,0.1171875
tau_retail,FULL,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,FULL,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,MEMORY_REVISE,BASE,256,1.0,0.19140625,0.80859375
tau_retail,MEMORY_REVISE,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,MEMORY_REVISE,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,REVISE,BASE,256,1.0,0.453125,0.546875
tau_retail,REVISE,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,REVISE,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,SHARDED,BASE,256,1.0,0.7890625,0.2109375
tau_retail,SHARDED,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,SHARDED,PROJ_GUARD,256,1.0,0.0,1.0
tau_retail,SNOWBALL,BASE,256,1.0,0.0390625,0.9609375
tau_retail,SNOWBALL,EFFECTGUARD,256,1.0,0.0,1.0
tau_retail,SNOWBALL,PROJ_GUARD,256,1.0,0.0,1.0
telecom,ADV_EFFECT,BASE,256,1.0,0.7578125,0.2421875
telecom,ADV_EFFECT,EFFECTGUARD,256,1.0,0.0,1.0
telecom,ADV_EFFECT,PROJ_GUARD,256,1.0,0.0,1.0
telecom,CONCAT,BASE,256,1.0,0.8671875,0.1328125
telecom,CONCAT,EFFECTGUARD,256,1.0,0.0,1.0
telecom,CONCAT,PROJ_GUARD,256,1.0,0.0,1.0
telecom,FULL,BASE,256,1.0,1.0,0.0
telecom,FULL,EFFECTGUARD,256,1.0,0.0,1.0
telecom,FULL,PROJ_GUARD,256,1.0,0.0078125,0.9921875
telecom,MEMORY_REVISE,BASE,256,1.0,0.33203125,0.66796875
telecom,MEMORY_REVISE,EFFECTGUARD,256,1.0,0.0,1.0
