family,regime,system,trajectories,raw_success,strict_excess_per_success,kernel_least_effect_success
tau2_telecom_native,ADV_EFFECT,BASE,64,1.0,0.75,0.25
tau2_telecom_native,ADV_EFFECT,EFFECTGUARD_V2,64,1.0,0.0,1.0
tau2_telecom_native,ADV_EFFECT,PROJ_GUARD_V2,64,1.0,0.0,1.0
tau2_telecom_native,FULL,BASE,50,1.0,1.0,0.0
tau2_telecom_native,FULL,EFFECTGUARD_V2,64,1.0,0.0,1.0
tau2_telecom_native,FULL,PROJ_GUARD_V2,48,1.0,0.0,1.0
tau2_telecom_native,MEMORY_REVISE,BASE,48,1.0,0.20833333333333334,0.7916666666666666
tau2_telecom_native,MEMORY_REVISE,EFFECTGUARD_V2,64,1.0,0.0,1.0
tau2_telecom_native,MEMORY_REVISE,PROJ_GUARD_V2,52,1.0,0.0,1.0
tau2_telecom_native,SHARDED,BASE,54,1.0,0.9259259259259259,0.07407407407407407
tau2_telecom_native,SHARDED,EFFECTGUARD_V2,64,1.0,0.0,1.0
tau2_telecom_native,SHARDED,PROJ_GUARD_V2,58,1.0,0.0,1.0
tau_airline_native,ADV_EFFECT,BASE,128,1.0,0.75,0.25
tau_airline_native,ADV_EFFECT,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_airline_native,ADV_EFFECT,PROJ_GUARD_V2,128,1.0,0.0,1.0
tau_airline_native,FULL,BASE,104,1.0,0.9807692307692307,0.019230769230769232
tau_airline_native,FULL,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_airline_native,FULL,PROJ_GUARD_V2,112,1.0,0.0,1.0
tau_airline_native,MEMORY_REVISE,BASE,96,1.0,0.14583333333333334,0.8541666666666666
tau_airline_native,MEMORY_REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_airline_native,MEMORY_REVISE,PROJ_GUARD_V2,108,1.0,0.0,1.0
tau_airline_native,SHARDED,BASE,116,1.0,0.8793103448275862,0.1206896551724138
tau_airline_native,SHARDED,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_airline_native,SHARDED,PROJ_GUARD_V2,116,1.0,0.0,1.0
tau_retail_native,ADV_EFFECT,BASE,128,1.0,0.75,0.25
tau_retail_native,ADV_EFFECT,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_retail_native,ADV_EFFECT,PROJ_GUARD_V2,128,1.0,0.0,1.0
tau_retail_native,FULL,BASE,112,1.0,0.8839285714285714,0.11607142857142858
tau_retail_native,FULL,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_retail_native,FULL,PROJ_GUARD_V2,120,1.0,0.0,1.0
tau_retail_native,MEMORY_REVISE,BASE,96,1.0,0.0625,0.9375
tau_retail_native,MEMORY_REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_retail_native,MEMORY_REVISE,PROJ_GUARD_V2,110,1.0,0.0,1.0
tau_retail_native,SHARDED,BASE,124,1.0,0.7741935483870968,0.22580645161290322
tau_retail_native,SHARDED,EFFECTGUARD_V2,128,1.0,0.0,1.0
tau_retail_native,SHARDED,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract_native,ADV_EFFECT,BASE,32,1.0,0.375,0.625
toolsandbox_contract_native,ADV_EFFECT,EFFECTGUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,ADV_EFFECT,PROJ_GUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,FULL,BASE,37,1.0,0.9459459459459459,0.05405405405405406
toolsandbox_contract_native,FULL,EFFECTGUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,FULL,PROJ_GUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,MEMORY_REVISE,BASE,32,1.0,0.0,1.0
toolsandbox_contract_native,MEMORY_REVISE,EFFECTGUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,MEMORY_REVISE,PROJ_GUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,SHARDED,BASE,32,1.0,1.0,0.0
toolsandbox_contract_native,SHARDED,EFFECTGUARD_V2,64,1.0,0.0,1.0
toolsandbox_contract_native,SHARDED,PROJ_GUARD_V2,64,1.0,0.0,1.0
