baseline,reason,count,rate_among_successes
FINAL_STATE,accepted,21504,1.0
CORE_DFA,accepted,21504,1.0
MINISCOPE_PERMISSION,accepted,20256,0.9419642857142857
MINISCOPE_PERMISSION,linked_or_third_party_data_scope,1248,0.05803571428571429
CONTRACT_MENU_CMTF,accepted,19898,0.9253162202380952
CONTRACT_MENU_CMTF,avoidable_external_notification,1117,0.051943824404761904
CONTRACT_MENU_CMTF,contract_artifact_not_preserved,368,0.01711309523809524
CONTRACT_MENU_CMTF,external_exposure_policy_violation,121,0.005626860119047619
REVISABILITY,accepted,20256,0.9419642857142857
REVISABILITY,irreversible_or_external_effect,1117,0.051943824404761904
REVISABILITY,broad_write_without_staging,125,0.005812872023809524
REVISABILITY,risky_regime_high_commit,6,0.00027901785714285713
MODERNSTACK_PROJECTION,accepted,19423,0.9032273065476191
MODERNSTACK_PROJECTION,miniscope_permission:linked_or_third_party_data_scope,1248,0.05803571428571429
MODERNSTACK_PROJECTION,missing_target_confirmation,445,0.020693824404761904
MODERNSTACK_PROJECTION,contract_menu_cmtf:contract_artifact_not_preserved,368,0.01711309523809524
MODERNSTACK_PROJECTION,unparsed_model_proposal,20,0.0009300595238095238
KERNEL_FULL,accepted,16893,0.7855747767857143
KERNEL_FULL,kernel_strict_excess,4611,0.21442522321428573
