baseline,reason,count,rate_among_successes
FINAL_STATE,accepted,21504,1.0
CORE_DFA,accepted,21504,1.0
MINISCOPE_PERMISSION,accepted,20230,0.9407552083333334
MINISCOPE_PERMISSION,linked_or_third_party_data_scope,1274,0.059244791666666664
CONTRACT_MENU_CMTF,accepted,19884,0.9246651785714286
CONTRACT_MENU_CMTF,avoidable_external_notification,1131,0.05259486607142857
CONTRACT_MENU_CMTF,contract_artifact_not_preserved,362,0.01683407738095238
CONTRACT_MENU_CMTF,external_exposure_policy_violation,127,0.005905877976190476
REVISABILITY,accepted,20230,0.9407552083333334
REVISABILITY,irreversible_or_external_effect,1131,0.05259486607142857
REVISABILITY,broad_write_without_staging,139,0.00646391369047619
REVISABILITY,risky_regime_high_commit,4,0.00018601190476190475
MODERNSTACK_PROJECTION,accepted,19394,0.9018787202380952
MODERNSTACK_PROJECTION,miniscope_permission:linked_or_third_party_data_scope,1274,0.059244791666666664
MODERNSTACK_PROJECTION,missing_target_confirmation,448,0.020833333333333332
MODERNSTACK_PROJECTION,contract_menu_cmtf:contract_artifact_not_preserved,360,0.016741071428571428
MODERNSTACK_PROJECTION,unparsed_model_proposal,28,0.0013020833333333333
KERNEL_FULL,accepted,16866,0.7843191964285714
KERNEL_FULL,kernel_strict_excess,4638,0.21568080357142858
