baseline,reason,count,rate_among_successes
FINAL_STATE,accepted,3072,1.0
CORE_DFA,accepted,3072,1.0
MINISCOPE_PERMISSION,linked_or_third_party_data_scope,2466,0.802734375
MINISCOPE_PERMISSION,accepted,606,0.197265625
CONTRACT_MENU_CMTF,accepted,1920,0.625
CONTRACT_MENU_CMTF,avoidable_external_notification,1152,0.375
REVISABILITY,broad_write_without_staging,1314,0.427734375
REVISABILITY,irreversible_or_external_effect,1152,0.375
REVISABILITY,accepted,606,0.197265625
MODERNSTACK_PROJECTION,miniscope_permission:linked_or_third_party_data_scope,2466,0.802734375
MODERNSTACK_PROJECTION,accepted,606,0.197265625
KERNEL_FULL,accepted,3072,1.0
