family,regime,system,trajectories,raw_success,strict_excess_per_success,kernel_least_effect_success
delegated_docs,ADV_EFFECT,BASE,128,1.0,0.7265625,0.2734375
delegated_docs,ADV_EFFECT,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,ADV_EFFECT,PROJ_GUARD_V2,128,1.0,0.078125,0.921875
delegated_docs,CONCAT,BASE,128,1.0,0.84375,0.15625
delegated_docs,CONCAT,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,CONCAT,PROJ_GUARD_V2,128,1.0,0.1484375,0.8515625
delegated_docs,FULL,BASE,128,1.0,0.953125,0.046875
delegated_docs,FULL,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,FULL,PROJ_GUARD_V2,128,1.0,0.1875,0.8125
delegated_docs,MEMORY_REVISE,BASE,128,1.0,0.203125,0.796875
delegated_docs,MEMORY_REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,MEMORY_REVISE,PROJ_GUARD_V2,128,1.0,0.171875,0.828125
delegated_docs,REVISE,BASE,128,1.0,0.328125,0.671875
delegated_docs,REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,REVISE,PROJ_GUARD_V2,128,1.0,0.171875,0.828125
delegated_docs,SHARDED,BASE,128,1.0,0.953125,0.046875
delegated_docs,SHARDED,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,SHARDED,PROJ_GUARD_V2,128,1.0,0.1875,0.8125
delegated_docs,SNOWBALL,BASE,128,1.0,0.109375,0.890625
delegated_docs,SNOWBALL,EFFECTGUARD_V2,128,1.0,0.0,1.0
delegated_docs,SNOWBALL,PROJ_GUARD_V2,128,1.0,0.046875,0.953125
tau_airline,ADV_EFFECT,BASE,256,1.0,0.75,0.25
tau_airline,ADV_EFFECT,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,ADV_EFFECT,PROJ_GUARD_V2,256,1.0,0.0,1.0
tau_airline,CONCAT,BASE,256,1.0,0.921875,0.078125
tau_airline,CONCAT,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,CONCAT,PROJ_GUARD_V2,256,1.0,0.171875,0.828125
tau_airline,FULL,BASE,256,1.0,0.9609375,0.0390625
tau_airline,FULL,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,FULL,PROJ_GUARD_V2,256,1.0,0.15625,0.84375
tau_airline,MEMORY_REVISE,BASE,256,1.0,0.375,0.625
tau_airline,MEMORY_REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
