family,regime,system,trajectories,raw_success,strict_excess_per_success,kernel_least_effect_success
stress_incomparable,ADV_EFFECT,BASE,80,1.0,0.0,1.0
stress_incomparable,ADV_EFFECT,EFFECTGUARD_V2,80,1.0,0.0,1.0
stress_incomparable,ADV_EFFECT,PROJ_GUARD_V2,80,1.0,0.0,1.0
stress_incomparable,CONCAT,BASE,80,1.0,0.0,1.0
stress_incomparable,CONCAT,EFFECTGUARD_V2,80,1.0,0.0,1.0
stress_incomparable,CONCAT,PROJ_GUARD_V2,80,1.0,0.0,1.0
stress_incomparable,FULL,BASE,80,1.0,0.0,1.0
stress_incomparable,FULL,EFFECTGUARD_V2,80,1.0,0.0,1.0
stress_incomparable,FULL,PROJ_GUARD_V2,80,1.0,0.0,1.0
stress_incomparable,SHARDED,BASE,80,1.0,0.0,1.0
stress_incomparable,SHARDED,EFFECTGUARD_V2,80,1.0,0.0,1.0
stress_incomparable,SHARDED,PROJ_GUARD_V2,80,1.0,0.0,1.0
stress_necessary_high,ADV_EFFECT,BASE,176,1.0,0.0,1.0
stress_necessary_high,ADV_EFFECT,EFFECTGUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,ADV_EFFECT,PROJ_GUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,CONCAT,BASE,176,1.0,0.0,1.0
stress_necessary_high,CONCAT,EFFECTGUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,CONCAT,PROJ_GUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,FULL,BASE,176,1.0,0.0,1.0
stress_necessary_high,FULL,EFFECTGUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,FULL,PROJ_GUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,SHARDED,BASE,176,1.0,0.0,1.0
stress_necessary_high,SHARDED,EFFECTGUARD_V2,176,1.0,0.0,1.0
stress_necessary_high,SHARDED,PROJ_GUARD_V2,176,1.0,0.0,1.0
