comparison,metric,method,estimate,ci_low,ci_high,standard_error,p_value_le_zero,n_units,n_clusters,cluster_col,n_bootstrap,seed
BASE_raw_minus_kernel_success,raw_success_gap,paired_bootstrap,0.5700334821428571,0.55859375,0.5814732142857143,0.005785214703446076,0.0,7168,7168,unit,2000,13
BASE_raw_minus_kernel_success,raw_success_gap,task_cluster,0.5700334821428571,0.5514753069196429,0.5872000558035715,0.00925773094074178,0.0,7168,128,base_task_id,2000,13
BASE_raw_minus_kernel_success,raw_success_gap,hierarchical,0.5700334821428571,0.48232421875000003,0.618306671626984,0.035895678242531266,0.0,7168,128,family/base_task_id,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,paired_bootstrap,0.49679129464285715,0.48423549107142855,0.5093470982142857,0.006356787974996981,0.0,7168,7168,unit,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,task_cluster,0.49679129464285715,0.4839564732142857,0.5096296037946428,0.006419895256035474,0.0,7168,128,base_task_id,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,hierarchical,0.49679129464285715,0.4358212425595238,0.5286830357142858,0.02331793591572489,0.0,7168,128,family/base_task_id,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,paired_bootstrap,0.0732421875,0.0673828125,0.07924107142857142,0.0030451733414487256,0.0,7168,7168,unit,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,task_cluster,0.0732421875,0.060958426339285714,0.0849609375,0.006104531780754407,0.0,7168,128,base_task_id,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,hierarchical,0.0732421875,0.03843803146258504,0.10268903459821423,0.016122426949287366,0.001,7168,128,family/base_task_id,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,paired_bootstrap,0.5700334821428571,0.5590122767857143,0.5814732142857143,0.005696808001020763,0.0,7168,7168,unit,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,task_cluster,0.5700334821428571,0.5514753069196429,0.587890625,0.009334673712091577,0.0,7168,128,base_task_id,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,hierarchical,0.5700334821428571,0.48939134247448984,0.617578125,0.03321471967425805,0.0,7168,128,family/base_task_id,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,7168,7168,unit,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,task_cluster,0.0,0.0,0.0,0.0,1.0,7168,128,base_task_id,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,hierarchical,0.0,0.0,0.0,0.0,1.0,7168,128,family/base_task_id,2000,13
