comparison,metric,method,estimate,ci_low,ci_high,standard_error,p_value_le_zero,n_units,n_clusters,cluster_col,n_bootstrap,seed
BASE_raw_minus_kernel_success,raw_success_gap,paired_bootstrap,0.6800966962127317,0.6535052377115229,0.7066881547139404,0.013439381270462023,0.0,1241,1241,unit,2000,13
BASE_raw_minus_kernel_success,raw_success_gap,task_cluster,0.6800966962127317,0.6606986554442503,0.6983490759823893,0.009571968707686567,0.0,1241,48,base_task_id,2000,13
BASE_raw_minus_kernel_success,raw_success_gap,hierarchical,0.6800966962127317,0.6339588746254334,0.7220498067215853,0.02270449869960425,0.0,1241,48,family/base_task_id,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,paired_bootstrap,0.6800966962127317,0.6535052377115229,0.7050765511684126,0.013374151417315553,0.0,1241,1241,unit,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,task_cluster,0.6800966962127317,0.6614230551596948,0.6972611802564952,0.009357750528737304,0.0,1241,48,base_task_id,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,hierarchical,0.6800966962127317,0.6304297269969666,0.7213125426912569,0.023660711288796082,0.0,1241,48,family/base_task_id,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1241,1241,unit,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,task_cluster,0.0,0.0,0.0,0.0,1.0,1241,48,base_task_id,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,hierarchical,0.0,0.0,0.0,0.0,1.0,1241,48,family/base_task_id,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,paired_bootstrap,0.6800966962127317,0.6551168412570507,0.7042707493956487,0.013066581337972888,0.0,1241,1241,unit,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,task_cluster,0.6800966962127317,0.6605640505298892,0.6975043604651162,0.009411783969902096,0.0,1241,48,base_task_id,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,hierarchical,0.6800966962127317,0.6299299978186289,0.7235621521335807,0.023368497218867662,0.0,1241,48,family/base_task_id,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1241,1241,unit,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,task_cluster,0.0,0.0,0.0,0.0,1.0,1241,48,base_task_id,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,hierarchical,0.0,0.0,0.0,0.0,1.0,1241,48,family/base_task_id,2000,13
