comparison,metric,method,estimate,ci_low,ci_high,standard_error,p_value_le_zero,n_units,n_clusters,cluster_col,n_bootstrap,seed
BASE_raw_minus_kernel_success,raw_success_gap,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1024,1024,unit,2000,13
BASE_raw_minus_kernel_success,raw_success_gap,task_cluster,0.0,0.0,0.0,0.0,1.0,1024,32,base_task_id,2000,13
BASE_raw_minus_kernel_success,raw_success_gap,hierarchical,0.0,0.0,0.0,0.0,1.0,1024,32,family/base_task_id,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1024,1024,unit,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,task_cluster,0.0,0.0,0.0,0.0,1.0,1024,32,base_task_id,2000,13
BASE_strict_minus_PROJ_GUARD_V2_strict,strict_excess_reduction,hierarchical,0.0,0.0,0.0,0.0,1.0,1024,32,family/base_task_id,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1024,1024,unit,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,task_cluster,0.0,0.0,0.0,0.0,1.0,1024,32,base_task_id,2000,13
PROJ_GUARD_V2_strict_minus_EFFECTGUARD_V2_strict,strict_excess_reduction,hierarchical,0.0,0.0,0.0,0.0,1.0,1024,32,family/base_task_id,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1024,1024,unit,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,task_cluster,0.0,0.0,0.0,0.0,1.0,1024,32,base_task_id,2000,13
EFFECTGUARD_V2_kernel_minus_BASE_kernel,kernel_success_gain,hierarchical,0.0,0.0,0.0,0.0,1.0,1024,32,family/base_task_id,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,paired_bootstrap,0.0,0.0,0.0,0.0,1.0,1024,1024,unit,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,task_cluster,0.0,0.0,0.0,0.0,1.0,1024,32,base_task_id,2000,13
EFFECTGUARD_V2_raw_minus_BASE_raw,raw_success_retention_delta,hierarchical,0.0,0.0,0.0,0.0,1.0,1024,32,family/base_task_id,2000,13
